0:00:46.68,0:00:48.85,「就是说啊 大哥」,そうでやんすな　兄貴
0:00:48.85,0:00:52.06,「打个水而已 需要那么久吗」,ただ水を汲みに行ったにしちゃ　長すぎやすね
0:01:44.54,0:01:46.54,「您便是我的主君」,あなたこそがマイロードだ
0:01:58.48,0:02:03.39,「骗人的吧 老公 老公啊啊啊」,嘘　でしょ　あなた　あなた
0:02:37.07,0:02:37.71,「我的骑士」,我が騎士
0:03:10.79,0:03:13.16,「你不也一样 垂涎欲滴」,そういう貴様も　だらだら
0:04:15.11,0:04:15.99,「住手吧」,やめたまえ
0:04:16.71,0:04:19.80,「难道你们做这种让自己主君失望的事情」,てめえらの主様を失望させることになっても
0:04:19.80,0:04:22.24,「你们都没有一点羞愧吗 啊？」,構わねえんだな　あぁん？
0:04:29.63,0:04:30.24,「可是」,でも
0:04:30.87,0:04:32.80,「可是… 我们…」,でも…　おいら…
0:10:09.17,0:10:11.45,「喜欢 长颈鹿先生」,キリン　さんが好きです
0:10:11.45,0:10:15.11,「但 更喜欢 大象先生」,でも　ゾウ　さんのほうがもっと好きです
0:23:19.25,0:23:20.88,「恋太郎」「君」,恋太郎くん
